,Estrato,Genero,Edad,Grado,Zona,Deporte,Trabaja,Invitacion_drogas,Consecuencias_consumo,Padres_alcohol,Reaccion_padres,Cigarrillo,Consume_droga,A_que_edad,Atencion_padres,Conocimiento_amistades_padres,Continua,Grados_perdidos,Recreo,Acoso_escolar,Acoso_sexual,Relacion_familiar,Limitaciones,Sexualidad,Habitacion_compartida,Perdida_familiar,Rupturas_amorosas,Situacion_sentimental,Otro_colegio,Familiares_consumidores,Colegio,MadreyPadre,Otros_familiares,Solo Madre,Solo Padre,Casados,Separados,Soltero_soltera,Unión_libre,Viudo_viuda,Agresivo,Alegre,Extrovertido,Malhumorado,Timido,Impulsivo,Calle,Casa,Colegio,Con_pareja_sentimental,Fiestas,No_consumido,Parque,Paseo
94,5,1,16,9,1,0,0,1,1,2,4,1,0,0.0,3,2,0,0,20000,0,0,3,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
95,4,0,12,7,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,34000,0,0,4,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96,4,0,12,7,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,34000,0,0,4,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
97,6,0,16,11,1,1,0,1,0,3,4,1,0,0.0,3,3,0,0,100000,0,0,3,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
98,5,1,12,6,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,15000,1,1,4,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,3,1,18,11,1,1,1,1,1,2,2,0,0,0.0,3,3,0,1,200000,0,0,4,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100,3,1,15,10,1,1,0,0,1,2,4,0,0,0.0,3,2,0,0,20000,0,0,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
101,4,1,14,8,1,1,1,0,0,1,4,1,0,0.0,2,1,0,0,80000,1,0,3,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
102,6,0,17,11,1,0,0,0,0,2,4,1,0,0.0,3,3,0,0,200000,0,1,3,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
103,3,1,15,10,1,1,0,1,1,2,3,1,0,0.0,3,2,0,0,80000,0,0,4,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
104,5,1,12,6,0,1,0,0,1,2,4,0,0,0.0,3,3,0,0,100000,0,0,4,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
105,2,0,12,8,1,1,0,0,1,1,4,0,0,0.0,3,3,0,0,25000,1,1,2,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
